name,pubCode,description,startDate,endDate
"vst.subplot","23_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","23_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_25_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_25_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_100_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_100_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","23_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_25_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.tagStatus","ok","Tag is attached to individual and consistent with previously entered value",2012-01-01T00:00:00Z,
"vst.tagStatus","replaced","Tag was no longer attached and has been re-made or reattached",2012-01-01T00:00:00Z,
"vst.tagStatus","mislabeled","TagID was incorrectly recorded and has been reassigned",2012-01-01T00:00:00Z,2018-11-01T00:00:00Z
"vst.tagStatus","untagged","Measured individual does not have unique tagID assigned",2012-01-01T00:00:00Z,2018-11-01T00:00:00Z
"vst.tagStatus","unknown","Tagged individual could not be re-located for measurement",2012-01-01T00:00:00Z,2018-11-01T00:00:00Z
"vst.tagStatus","removed","Tagged individuals no longer qualifies for measurement according to any protocol and tagID will not be used again at the site",2012-01-01T00:00:00Z,2018-12-31T00:00:00Z
"vst.tagStatus","notRequired","Measured individual does not have unique tagID assigned, no status reported",2012-01-01T00:00:00Z,
"vst.tagStatus","tagRemoved","Tagged individuals no longer qualifies for measurement according to any protocol and tagID will not be used again at the site",2018-01-01T00:00:00Z,
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
"Yes, No, or Unknown choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes, No, or Unknown choice","N","No",2012-01-01T00:00:00Z,
"Yes, No, or Unknown choice","U","Unknown",2012-01-01T00:00:00Z,
